Block (1, 1): dy = 0, dx = 0
Block (337, 249): dy = 0, dx = 0
Block (345, 249): dy = 0, dx = 0
Block (1, 257): dy = 0, dx = 0
Block (9, 257): dy = 0, dx = 0
Block (17, 257): dy = 0, dx = 0
Block (25, 257): dy = 0, dx = 0
Block (33, 257): dy = -5, dx = 7
Block (41, 257): dy = 1, dx = 0
Block (49, 257): dy = 1, dx = -1
Block (57, 257): dy = 1, dx = 0
Block (65, 257): dy = 0, dx = 0
Block (73, 257): dy = 0, dx = -1
Block (81, 257): dy = 0, dx = 0
Block (89, 257): dy = 0, dx = 0
Block (97, 257): dy = 0, dx = 0
Block (105, 257): dy = 1, dx = 0
Block (113, 257): dy = 1, dx = 0
Block (121, 257): dy = -4, dx = -3
Block (129, 257): dy = 1, dx = 0
Block (137, 257): dy = 1, dx = 0
Block (145, 257): dy = 1, dx = 0
Block (153, 257): dy = -1, dx = -2
Block (161, 257): dy = -3, dx = -6
Block (169, 257): dy = 1, dx = -2
Block (177, 257): dy = 3, dx = 7
Block (185, 257): dy = 0, dx = -8
Block (193, 257): dy = 0, dx = -8
Block (201, 257): dy = 0, dx = -7
Block (209, 257): dy = -2, dx = -2
Block (217, 257): dy = -3, dx = -1
Block (225, 257): dy = 1, dx = -1
Block (233, 257): dy = 1, dx = -1
Block (241, 257): dy = 0, dx = -2
Block (249, 257): dy = 0, dx = -1
Block (257, 257): dy = 0, dx = 0
Block (265, 257): dy = 0, dx = 0
Block (273, 257): dy = 0, dx = 0
Block (281, 257): dy = 0, dx = 0
Block (289, 257): dy = 0, dx = 0
Block (297, 257): dy = 0, dx = 0
Block (305, 257): dy = 0, dx = 0
Block (313, 257): dy = 0, dx = 0
Block (321, 257): dy = 0, dx = 0
Block (329, 257): dy = 0, dx = 0
Block (337, 257): dy = 0, dx = 0
Block (345, 257): dy = 0, dx = -1
Block (1, 265): dy = 0, dx = 0
Block (9, 265): dy = 1, dx = 0
Block (17, 265): dy = 1, dx = 0
Block (25, 265): dy = 1, dx = 0
Block (33, 265): dy = 0, dx = -1
Block (41, 265): dy = -4, dx = 1
Block (49, 265): dy = 0, dx = 0
Block (57, 265): dy = 1, dx = 0
Block (65, 265): dy = 1, dx = 0
Block (73, 265): dy = 0, dx = -1
Block (81, 265): dy = 0, dx = 0
Block (89, 265): dy = 0, dx = 0
Block (97, 265): dy = 1, dx = -1
Block (105, 265): dy = 0, dx = 0
Block (113, 265): dy = 1, dx = 0
Block (121, 265): dy = 2, dx = 0
Block (129, 265): dy = 1, dx = 0
Block (137, 265): dy = 1, dx = 0
Block (145, 265): dy = 1, dx = 0
Block (153, 265): dy = 1, dx = 0
Block (161, 265): dy = 0, dx = -1
Block (169, 265): dy = 8, dx = 3
Block (177, 265): dy = 0, dx = 0
Block (185, 265): dy = 0, dx = -1
Block (193, 265): dy = -1, dx = -1
Block (201, 265): dy = -1, dx = -2
Block (209, 265): dy = 1, dx = -3
Block (217, 265): dy = 3, dx = -4
Block (225, 265): dy = 4, dx = -1
Block (233, 265): dy = 1, dx = -1
Block (241, 265): dy = 1, dx = -1
Block (249, 265): dy = 1, dx = -1
Block (257, 265): dy = 0, dx = 0
Block (265, 265): dy = 0, dx = -1
Block (273, 265): dy = 0, dx = 0
Block (281, 265): dy = 0, dx = 0
Block (289, 265): dy = 0, dx = 0
Block (297, 265): dy = 0, dx = 0
Block (305, 265): dy = 0, dx = 0
Block (313, 265): dy = 0, dx = 0
Block (321, 265): dy = 0, dx = 0
Block (329, 265): dy = 0, dx = 0
Block (337, 265): dy = 0, dx = 0
Block (345, 265): dy = 0, dx = 0
Block (1, 273): dy = 1, dx = 0
Block (9, 273): dy = 1, dx = -1
Block (17, 273): dy = 1, dx = -1
Block (25, 273): dy = 1, dx = 0
Block (33, 273): dy = 1, dx = 0
Block (41, 273): dy = 1, dx = -1
Block (49, 273): dy = 1, dx = -1
Block (57, 273): dy = 0, dx = 0
Block (65, 273): dy = 0, dx = 0
Block (73, 273): dy = 1, dx = 0
Block (81, 273): dy = 1, dx = 0
Block (89, 273): dy = 1, dx = 0
Block (97, 273): dy = 1, dx = 0
Block (105, 273): dy = 1, dx = 0
Block (113, 273): dy = 1, dx = 0
Block (121, 273): dy = 1, dx = 0
Block (129, 273): dy = 1, dx = 0
Block (137, 273): dy = 1, dx = 0
Block (145, 273): dy = 1, dx = 0
Block (153, 273): dy = 1, dx = 0
Block (161, 273): dy = 1, dx = 0
Block (169, 273): dy = 2, dx = 0
Block (177, 273): dy = 2, dx = 0
Block (185, 273): dy = 2, dx = 0
Block (193, 273): dy = -1, dx = -3
Block (201, 273): dy = -4, dx = -1
Block (209, 273): dy = 1, dx = -3
Block (217, 273): dy = 2, dx = -4
Block (225, 273): dy = 1, dx = -1
Block (233, 273): dy = 1, dx = -1
Block (241, 273): dy = 1, dx = -1
Block (249, 273): dy = 0, dx = -1
Block (257, 273): dy = 0, dx = 0
Block (265, 273): dy = 0, dx = -1
Block (273, 273): dy = 0, dx = 0
Block (281, 273): dy = 0, dx = -1
Block (289, 273): dy = 0, dx = -1
Block (297, 273): dy = 0, dx = 0
Block (305, 273): dy = 0, dx = 0
Block (313, 273): dy = 0, dx = 0
Block (321, 273): dy = 0, dx = 0
Block (329, 273): dy = 0, dx = 0
Block (337, 273): dy = 0, dx = 0
Block (345, 273): dy = 0, dx = 0
Block (1, 281): dy = 0, dx = 0
Block (9, 281): dy = 0, dx = -1
Block (17, 281): dy = 0, dx = -1
Block (25, 281): dy = 0, dx = 0
Block (33, 281): dy = 0, dx = 0
Block (41, 281): dy = 0, dx = -1
Block (49, 281): dy = 0, dx = 0
Block (57, 281): dy = 0, dx = 0
Block (65, 281): dy = 0, dx = 2
Block (73, 281): dy = 0, dx = 2
Block (81, 281): dy = 0, dx = 2
Block (89, 281): dy = 0, dx = 1
Block (97, 281): dy = 0, dx = 1
Block (105, 281): dy = 0, dx = 0
Block (113, 281): dy = 0, dx = -1
Block (121, 281): dy = 0, dx = 0
Block (129, 281): dy = 0, dx = 0
Block (137, 281): dy = 0, dx = 0
Block (145, 281): dy = 0, dx = 0
Block (153, 281): dy = 0, dx = 0
Block (161, 281): dy = 0, dx = -1
Block (169, 281): dy = 0, dx = -3
Block (177, 281): dy = 0, dx = -3
Block (185, 281): dy = 0, dx = -2
Block (193, 281): dy = 0, dx = -1
Block (201, 281): dy = 0, dx = -2
Block (209, 281): dy = 0, dx = -3
Block (217, 281): dy = 0, dx = -4
Block (225, 281): dy = 0, dx = -1
Block (233, 281): dy = 0, dx = -1
Block (241, 281): dy = 0, dx = 0
Block (249, 281): dy = 0, dx = 0
Block (257, 281): dy = 0, dx = 0
Block (265, 281): dy = 0, dx = 0
Block (273, 281): dy = 0, dx = -1
Block (281, 281): dy = 0, dx = 0
Block (289, 281): dy = 0, dx = 0
Block (297, 281): dy = 0, dx = 0
Block (305, 281): dy = 0, dx = 0
Block (313, 281): dy = 0, dx = 0
Block (321, 281): dy = 0, dx = 0
Block (329, 281): dy = 0, dx = 0
Block (337, 281): dy = 0, dx = 0
Block (345, 281): dy = 0, dx = 0
Block (1, 1): dy = 0, dx = 0
Block (9, 1): dy = 0, dx = 0
Block (17, 1): dy = 0, dx = 0
Block (25, 1): dy = 0, dx = 0
Block (33, 1): dy = 0, dx = 0
Block (41, 1): dy = 0, dx = 0
Block (49, 1): dy = 0, dx = 0
Block (57, 1): dy = 0, dx = 0
Block (65, 1): dy = 0, dx = 0
Block (73, 1): dy = 0, dx = 0
Block (81, 1): dy = 0, dx = 0
Block (89, 1): dy = 0, dx = -1
Block (97, 1): dy = 0, dx = 0
Block (105, 1): dy = 0, dx = -1
Block (113, 1): dy = 0, dx = -1
Block (121, 1): dy = 0, dx = -1
Block (129, 1): dy = 0, dx = 0
Block (137, 1): dy = 0, dx = 0
Block (145, 1): dy = 0, dx = 0
Block (153, 1): dy = 0, dx = 0
Block (161, 1): dy = 2, dx = -5
Block (169, 1): dy = 0, dx = 0
Block (177, 1): dy = 0, dx = -1
Block (185, 1): dy = 0, dx = -1
Block (193, 1): dy = 0, dx = -1
Block (201, 1): dy = 0, dx = -1
Block (209, 1): dy = 0, dx = -1
Block (217, 1): dy = 0, dx = -1
Block (225, 1): dy = 0, dx = -1
Block (233, 1): dy = 0, dx = 0
Block (241, 1): dy = 0, dx = -1
Block (249, 1): dy = 0, dx = -1
Block (257, 1): dy = 0, dx = -1
Block (265, 1): dy = 8, dx = 7
Block (273, 1): dy = 0, dx = -1
Block (281, 1): dy = 0, dx = -1
Block (289, 1): dy = 0, dx = -1
Block (297, 1): dy = 0, dx = -1
Block (305, 1): dy = 0, dx = -1
Block (313, 1): dy = 2, dx = 1
Block (321, 1): dy = 2, dx = 1
Block (329, 1): dy = 0, dx = -1
Block (337, 1): dy = 0, dx = -1
Block (345, 1): dy = 1, dx = 0
Block (1, 9): dy = 0, dx = 0
Block (9, 9): dy = 0, dx = 0
Block (17, 9): dy = 0, dx = 0
Block (25, 9): dy = 0, dx = -1
Block (33, 9): dy = 0, dx = 0
Block (41, 9): dy = 0, dx = 0
Block (49, 9): dy = 0, dx = 0
Block (57, 9): dy = 0, dx = 0
Block (65, 9): dy = 0, dx = 0
Block (73, 9): dy = 0, dx = -1
Block (81, 9): dy = 0, dx = 0
Block (89, 9): dy = 0, dx = -1
Block (97, 9): dy = 0, dx = -1
Block (105, 9): dy = 0, dx = 0
Block (113, 9): dy = 0, dx = 0
Block (121, 9): dy = 0, dx = 0
Block (129, 9): dy = 0, dx = 0
Block (137, 9): dy = 0, dx = 0
Block (145, 9): dy = 0, dx = 0
Block (153, 9): dy = 0, dx = -1
Block (161, 9): dy = 0, dx = -1
Block (169, 9): dy = 0, dx = -2
Block (177, 9): dy = 2, dx = -8
Block (185, 9): dy = 7, dx = -6
Block (193, 9): dy = 4, dx = -8
Block (201, 9): dy = 1, dx = -4
Block (209, 9): dy = -1, dx = -8
Block (217, 9): dy = -2, dx = -3
Block (225, 9): dy = 0, dx = -1
Block (233, 9): dy = 0, dx = -1
Block (241, 9): dy = 0, dx = -1
Block (249, 9): dy = 0, dx = -1
Block (257, 9): dy = 0, dx = -1
Block (265, 9): dy = 0, dx = -1
Block (273, 9): dy = 6, dx = 5
Block (281, 9): dy = 0, dx = -1
Block (289, 9): dy = 0, dx = -1
Block (297, 9): dy = 3, dx = 2
Block (305, 9): dy = 1, dx = 0
Block (313, 9): dy = 0, dx = 0
Block (321, 9): dy = 1, dx = 0
Block (329, 9): dy = 2, dx = 1
Block (337, 9): dy = 0, dx = -1
Block (345, 9): dy = 1, dx = 0
Block (1, 17): dy = 0, dx = 0
Block (9, 17): dy = 0, dx = -1
Block (17, 17): dy = 0, dx = 0
Block (25, 17): dy = 0, dx = 0
Block (33, 17): dy = 0, dx = 0
Block (41, 17): dy = 0, dx = 0
Block (49, 17): dy = 0, dx = 0
Block (57, 17): dy = 0, dx = 0
Block (65, 17): dy = 0, dx = -1
Block (73, 17): dy = 0, dx = -1
Block (81, 17): dy = 0, dx = -1
Block (89, 17): dy = 0, dx = 0
Block (97, 17): dy = 0, dx = 0
Block (105, 17): dy = 0, dx = 0
Block (113, 17): dy = 0, dx = 0
Block (121, 17): dy = 0, dx = 0
Block (129, 17): dy = 0, dx = 0
Block (137, 17): dy = 0, dx = 0
Block (145, 17): dy = 0, dx = -1
Block (153, 17): dy = 1, dx = -3
Block (161, 17): dy = 3, dx = -2
Block (169, 17): dy = -5, dx = 5
Block (177, 17): dy = 1, dx = 4
Block (185, 17): dy = 8, dx = 5
Block (193, 17): dy = 4, dx = -1
Block (201, 17): dy = 4, dx = -5
Block (209, 17): dy = 8, dx = 2
Block (217, 17): dy = -1, dx = -7
Block (225, 17): dy = 4, dx = 3
Block (233, 17): dy = -6, dx = -7
Block (241, 17): dy = 0, dx = -1
Block (249, 17): dy = 0, dx = -1
Block (257, 17): dy = 0, dx = -1
Block (265, 17): dy = 0, dx = -1
Block (273, 17): dy = 0, dx = -1
Block (281, 17): dy = -8, dx = -8
Block (289, 17): dy = 0, dx = -1
Block (297, 17): dy = 0, dx = -1
Block (305, 17): dy = -4, dx = -4
Block (313, 17): dy = 0, dx = -1
Block (321, 17): dy = 0, dx = -1
Block (329, 17): dy = 3, dx = 2
Block (337, 17): dy = 2, dx = 1
Block (345, 17): dy = 0, dx = 0
Block (1, 25): dy = 0, dx = 0
Block (9, 25): dy = 0, dx = 0
Block (17, 25): dy = 0, dx = -1
Block (25, 25): dy = 0, dx = 0
Block (33, 25): dy = 0, dx = 0
Block (41, 25): dy = 0, dx = 0
Block (49, 25): dy = 0, dx = -1
Block (57, 25): dy = 0, dx = -1
Block (65, 25): dy = 0, dx = 0
Block (73, 25): dy = 0, dx = 0
Block (81, 25): dy = 0, dx = 0
Block (89, 25): dy = 0, dx = 0
Block (97, 25): dy = 0, dx = 0
Block (105, 25): dy = 0, dx = 0
Block (113, 25): dy = 0, dx = 0
Block (121, 25): dy = 0, dx = -1
Block (129, 25): dy = 0, dx = 0
Block (137, 25): dy = 0, dx = -1
Block (145, 25): dy = 3, dx = -1
Block (153, 25): dy = -2, dx = 7
Block (161, 25): dy = 1, dx = 2
Block (169, 25): dy = -1, dx = -7
Block (177, 25): dy = 8, dx = 7
Block (185, 25): dy = 0, dx = 4
Block (193, 25): dy = 4, dx = -2
Block (201, 25): dy = -1, dx = -5
Block (209, 25): dy = 4, dx = 4
Block (217, 25): dy = 6, dx = -6
Block (225, 25): dy = 1, dx = -5
Block (233, 25): dy = -4, dx = -5
Block (241, 25): dy = -7, dx = -8
Block (249, 25): dy = 0, dx = -1
Block (257, 25): dy = 0, dx = -1
Block (265, 25): dy = 0, dx = -1
Block (273, 25): dy = 0, dx = -1
Block (281, 25): dy = 6, dx = 5
Block (289, 25): dy = 7, dx = 6
Block (297, 25): dy = 0, dx = -1
Block (305, 25): dy = 0, dx = -1
Block (313, 25): dy = -6, dx = -6
Block (321, 25): dy = 0, dx = -1
Block (329, 25): dy = -1, dx = -1
Block (337, 25): dy = 3, dx = 2
Block (345, 25): dy = 1, dx = 0
Block (1, 33): dy = 0, dx = 0
Block (9, 33): dy = 0, dx = -1
Block (17, 33): dy = 0, dx = 0
Block (25, 33): dy = 0, dx = -1
Block (33, 33): dy = 0, dx = 0
Block (41, 33): dy = 0, dx = 0
Block (49, 33): dy = 0, dx = 0
Block (57, 33): dy = 0, dx = 0
Block (65, 33): dy = 0, dx = 0
Block (73, 33): dy = 0, dx = 0
Block (81, 33): dy = 0, dx = 0
Block (89, 33): dy = 0, dx = 0
Block (97, 33): dy = 0, dx = -1
Block (105, 33): dy = 0, dx = -1
Block (113, 33): dy = 0, dx = 0
Block (121, 33): dy = 0, dx = -1
Block (129, 33): dy = 0, dx = -1
Block (137, 33): dy = -6, dx = 7
Block (145, 33): dy = 2, dx = -1
Block (153, 33): dy = 0, dx = 7
Block (161, 33): dy = 4, dx = 0
Block (169, 33): dy = -8, dx = -8
Block (177, 33): dy = -7, dx = 8
Block (185, 33): dy = -7, dx = 2
Block (193, 33): dy = 7, dx = 1
Block (201, 33): dy = -2, dx = 4
Block (209, 33): dy = 0, dx = -5
Block (217, 33): dy = -1, dx = -7
Block (225, 33): dy = 0, dx = -5
Block (233, 33): dy = 5, dx = -1
Block (241, 33): dy = -4, dx = -5
Block (249, 33): dy = -5, dx = -6
Block (257, 33): dy = 0, dx = -1
Block (265, 33): dy = 0, dx = -1
Block (273, 33): dy = 0, dx = -1
Block (281, 33): dy = 0, dx = -1
Block (289, 33): dy = -6, dx = -6
Block (297, 33): dy = 6, dx = 5
Block (305, 33): dy = 0, dx = -1
Block (313, 33): dy = 0, dx = -1
Block (321, 33): dy = 3, dx = 2
Block (329, 33): dy = 2, dx = 1
Block (337, 33): dy = 0, dx = -1
Block (345, 33): dy = -4, dx = -4
Block (1, 41): dy = -1, dx = 0
Block (9, 41): dy = 1, dx = -1
Block (17, 41): dy = 0, dx = -1
Block (25, 41): dy = 0, dx = 0
Block (33, 41): dy = 0, dx = 0
Block (41, 41): dy = 0, dx = 0
Block (49, 41): dy = 0, dx = 0
Block (57, 41): dy = 0, dx = 0
Block (65, 41): dy = 0, dx = 0
Block (73, 41): dy = 0, dx = 0
Block (81, 41): dy = 0, dx = 0
Block (89, 41): dy = 0, dx = 0
Block (97, 41): dy = 0, dx = -1
Block (105, 41): dy = 4, dx = -4
Block (113, 41): dy = 0, dx = -1
Block (121, 41): dy = 0, dx = -1
Block (129, 41): dy = 2, dx = -3
Block (137, 41): dy = 4, dx = -4
Block (145, 41): dy = -7, dx = 3
Block (153, 41): dy = -6, dx = 0
Block (161, 41): dy = 3, dx = 0
Block (169, 41): dy = 5, dx = -8
Block (177, 41): dy = 1, dx = -5
Block (185, 41): dy = 2, dx = 5
Block (193, 41): dy = 2, dx = 1
Block (201, 41): dy = 1, dx = -4
Block (209, 41): dy = 7, dx = -6
Block (217, 41): dy = -7, dx = -8
Block (225, 41): dy = 5, dx = -5
Block (233, 41): dy = 0, dx = -4
Block (241, 41): dy = 0, dx = -1
Block (249, 41): dy = -4, dx = -5
Block (257, 41): dy = -7, dx = -8
Block (265, 41): dy = -5, dx = -6
Block (273, 41): dy = 0, dx = -1
Block (281, 41): dy = 0, dx = -1
Block (289, 41): dy = 0, dx = -1
Block (297, 41): dy = 8, dx = 7
Block (305, 41): dy = -6, dx = -6
Block (313, 41): dy = 0, dx = -1
Block (321, 41): dy = 0, dx = -1
Block (329, 41): dy = 3, dx = 2
Block (337, 41): dy = 0, dx = 0
Block (345, 41): dy = 0, dx = 0
Block (1, 49): dy = 0, dx = 0
Block (9, 49): dy = 0, dx = -1
Block (17, 49): dy = 0, dx = 0
Block (25, 49): dy = 0, dx = 0
Block (33, 49): dy = 0, dx = 0
Block (41, 49): dy = 0, dx = 0
Block (49, 49): dy = 0, dx = 0
Block (57, 49): dy = 0, dx = 0
Block (65, 49): dy = 0, dx = 0
Block (73, 49): dy = -2, dx = 8
Block (81, 49): dy = 1, dx = -1
Block (89, 49): dy = 1, dx = 0
Block (97, 49): dy = 0, dx = -1
Block (105, 49): dy = 0, dx = 0
Block (113, 49): dy = 0, dx = -1
Block (121, 49): dy = 7, dx = -2
Block (129, 49): dy = -1, dx = 0
Block (137, 49): dy = -2, dx = -6
Block (145, 49): dy = 4, dx = 5
Block (153, 49): dy = 2, dx = 4
Block (161, 49): dy = 7, dx = 0
Block (169, 49): dy = -1, dx = 3
Block (177, 49): dy = 0, dx = 1
Block (185, 49): dy = -7, dx = 8
Block (193, 49): dy = 1, dx = -8
Block (201, 49): dy = -6, dx = -6
Block (209, 49): dy = -1, dx = -8
Block (217, 49): dy = 5, dx = -8
Block (225, 49): dy = 5, dx = -8
Block (233, 49): dy = -7, dx = -7
Block (241, 49): dy = 2, dx = -3
Block (249, 49): dy = 0, dx = -1
Block (257, 49): dy = 0, dx = -1
Block (265, 49): dy = 0, dx = -1
Block (273, 49): dy = 0, dx = -1
Block (281, 49): dy = 0, dx = -1
Block (289, 49): dy = 0, dx = -1
Block (297, 49): dy = 0, dx = -1
Block (305, 49): dy = 5, dx = 4
Block (313, 49): dy = 7, dx = 6
Block (321, 49): dy = 0, dx = -1
Block (329, 49): dy = 1, dx = 0
Block (337, 49): dy = 5, dx = 4
Block (345, 49): dy = 0, dx = 0
Block (1, 57): dy = 0, dx = 0
Block (9, 57): dy = 0, dx = 0
Block (17, 57): dy = 0, dx = 0
Block (25, 57): dy = 0, dx = 0
Block (33, 57): dy = 0, dx = 0
Block (41, 57): dy = 0, dx = 0
Block (49, 57): dy = 2, dx = -1
Block (57, 57): dy = 0, dx = 0
Block (65, 57): dy = 0, dx = 0
Block (73, 57): dy = 0, dx = -1
Block (81, 57): dy = 0, dx = 0
Block (89, 57): dy = 0, dx = -1
Block (97, 57): dy = 0, dx = 0
Block (105, 57): dy = 0, dx = 0
Block (113, 57): dy = 0, dx = -1
Block (121, 57): dy = 7, dx = -3
Block (129, 57): dy = 5, dx = 0
Block (137, 57): dy = 8, dx = 7
Block (145, 57): dy = 0, dx = 8
Block (153, 57): dy = 1, dx = 1
Block (161, 57): dy = -8, dx = -4
Block (169, 57): dy = -6, dx = 4
Block (177, 57): dy = 6, dx = -4
Block (185, 57): dy = 4, dx = 4
Block (193, 57): dy = -1, dx = 7
Block (201, 57): dy = 0, dx = -4
Block (209, 57): dy = -7, dx = -8
Block (217, 57): dy = 2, dx = -2
Block (225, 57): dy = 3, dx = -5
Block (233, 57): dy = 8, dx = -3
Block (241, 57): dy = -8, dx = -7
Block (249, 57): dy = 0, dx = 0
Block (257, 57): dy = 0, dx = -1
Block (265, 57): dy = 8, dx = 8
Block (273, 57): dy = 0, dx = -1
Block (281, 57): dy = 0, dx = -1
Block (289, 57): dy = 0, dx = -1
Block (297, 57): dy = 0, dx = -1
Block (305, 57): dy = 0, dx = -1
Block (313, 57): dy = -7, dx = -7
Block (321, 57): dy = 0, dx = 0
Block (329, 57): dy = 0, dx = 0
Block (337, 57): dy = 4, dx = 3
Block (345, 57): dy = 1, dx = 0
Block (1, 65): dy = 0, dx = 0
Block (9, 65): dy = 0, dx = 0
Block (17, 65): dy = 0, dx = 0
Block (25, 65): dy = 0, dx = 0
Block (33, 65): dy = 0, dx = 0
Block (41, 65): dy = 0, dx = -1
Block (49, 65): dy = 0, dx = -1
Block (57, 65): dy = 0, dx = 0
Block (65, 65): dy = 0, dx = 0
Block (73, 65): dy = 0, dx = 0
Block (81, 65): dy = 0, dx = 0
Block (89, 65): dy = 0, dx = 0
Block (97, 65): dy = 0, dx = 0
Block (105, 65): dy = 1, dx = -2
Block (113, 65): dy = 8, dx = -2
Block (121, 65): dy = 8, dx = -2
Block (129, 65): dy = 6, dx = -3
Block (137, 65): dy = -7, dx = -5
Block (145, 65): dy = 4, dx = -1
Block (153, 65): dy = -2, dx = 3
Block (161, 65): dy = -1, dx = -5
Block (169, 65): dy = 2, dx = -6
Block (177, 65): dy = 7, dx = -4
Block (185, 65): dy = -5, dx = -8
Block (193, 65): dy = 7, dx = 1
Block (201, 65): dy = 6, dx = 7
Block (209, 65): dy = 7, dx = 4
Block (217, 65): dy = -6, dx = -2
Block (225, 65): dy = 8, dx = 1
Block (233, 65): dy = -3, dx = -7
Block (241, 65): dy = -4, dx = -5
Block (249, 65): dy = 7, dx = -1
Block (257, 65): dy = 0, dx = -1
Block (265, 65): dy = 0, dx = -1
Block (273, 65): dy = 7, dx = 7
Block (281, 65): dy = 6, dx = 6
Block (289, 65): dy = 0, dx = -1
Block (297, 65): dy = 0, dx = 0
Block (305, 65): dy = 0, dx = -1
Block (313, 65): dy = 0, dx = -1
Block (321, 65): dy = 0, dx = -1
Block (329, 65): dy = -1, dx = -1
Block (337, 65): dy = 0, dx = -1
Block (345, 65): dy = -4, dx = -4
Block (1, 73): dy = 0, dx = 0
Block (9, 73): dy = 0, dx = -1
Block (17, 73): dy = 0, dx = -1
Block (25, 73): dy = 0, dx = 0
Block (33, 73): dy = 0, dx = -1
Block (41, 73): dy = 0, dx = -1
Block (49, 73): dy = 0, dx = -1
Block (57, 73): dy = 0, dx = 0
Block (65, 73): dy = 0, dx = 0
Block (73, 73): dy = 0, dx = 0
Block (81, 73): dy = 0, dx = 0
Block (89, 73): dy = 0, dx = 0
Block (97, 73): dy = 0, dx = 0
Block (105, 73): dy = 0, dx = 0
Block (113, 73): dy = 6, dx = -2
Block (121, 73): dy = 2, dx = -3
Block (129, 73): dy = -6, dx = -5
Block (137, 73): dy = -7, dx = -3
Block (145, 73): dy = -8, dx = -1
Block (153, 73): dy = -7, dx = 0
Block (161, 73): dy = -3, dx = -7
Block (169, 73): dy = 0, dx = -1
Block (177, 73): dy = -1, dx = -5
Block (185, 73): dy = 3, dx = -8
Block (193, 73): dy = 3, dx = 8
Block (201, 73): dy = -4, dx = 5
Block (209, 73): dy = -5, dx = 1
Block (217, 73): dy = 3, dx = 0
Block (225, 73): dy = 2, dx = -3
Block (233, 73): dy = 0, dx = -5
Block (241, 73): dy = 5, dx = -1
Block (249, 73): dy = 4, dx = -2
Block (257, 73): dy = 0, dx = -1
Block (265, 73): dy = 0, dx = -1
Block (273, 73): dy = 0, dx = -1
Block (281, 73): dy = -6, dx = -7
Block (289, 73): dy = -6, dx = -7
Block (297, 73): dy = 0, dx = -1
Block (305, 73): dy = 0, dx = -1
Block (313, 73): dy = 0, dx = -1
Block (321, 73): dy = 0, dx = -1
Block (329, 73): dy = 0, dx = -1
Block (337, 73): dy = -1, dx = -1
Block (345, 73): dy = 0, dx = 0
Block (1, 81): dy = -6, dx = 0
Block (9, 81): dy = 0, dx = 0
Block (17, 81): dy = 0, dx = 0
Block (25, 81): dy = 0, dx = -1
Block (33, 81): dy = 0, dx = 0
Block (41, 81): dy = 0, dx = 0
Block (49, 81): dy = 0, dx = 0
Block (57, 81): dy = 0, dx = 0
Block (65, 81): dy = 0, dx = 0
Block (73, 81): dy = 0, dx = 0
Block (81, 81): dy = 0, dx = 0
Block (89, 81): dy = 0, dx = 0
Block (97, 81): dy = 0, dx = 0
Block (105, 81): dy = 6, dx = -1
Block (113, 81): dy = -1, dx = -1
Block (121, 81): dy = -2, dx = -3
Block (129, 81): dy = -2, dx = -4
Block (137, 81): dy = 1, dx = -5
Block (145, 81): dy = 2, dx = -8
Block (153, 81): dy = 2, dx = -8
Block (161, 81): dy = 2, dx = -7
Block (169, 81): dy = 2, dx = -7
Block (177, 81): dy = 2, dx = -8
Block (185, 81): dy = 2, dx = -8
Block (193, 81): dy = 2, dx = -8
Block (201, 81): dy = 2, dx = -8
Block (209, 81): dy = 2, dx = 8
Block (217, 81): dy = 2, dx = 2
Block (225, 81): dy = 1, dx = -7
Block (233, 81): dy = 1, dx = -8
Block (241, 81): dy = 1, dx = -5
Block (249, 81): dy = 1, dx = -3
Block (257, 81): dy = 1, dx = -2
Block (265, 81): dy = 0, dx = -8
Block (273, 81): dy = 0, dx = -1
Block (281, 81): dy = 0, dx = -1
Block (289, 81): dy = -7, dx = -8
Block (297, 81): dy = 0, dx = -1
Block (305, 81): dy = 0, dx = -1
Block (313, 81): dy = 0, dx = -1
Block (321, 81): dy = 0, dx = -1
Block (329, 81): dy = 0, dx = -1
Block (337, 81): dy = 7, dx = 6
Block (345, 81): dy = 0, dx = 0
Block (1, 89): dy = -1, dx = 0
Block (9, 89): dy = 0, dx = 0
Block (17, 89): dy = 0, dx = 0
Block (25, 89): dy = 0, dx = 0
Block (33, 89): dy = 0, dx = 0
Block (41, 89): dy = 0, dx = 0
Block (49, 89): dy = 0, dx = 0
Block (57, 89): dy = 0, dx = 0
Block (65, 89): dy = 0, dx = 0
Block (73, 89): dy = 0, dx = 0
Block (81, 89): dy = 0, dx = 0
Block (89, 89): dy = 0, dx = -1
Block (97, 89): dy = 0, dx = 0
Block (105, 89): dy = 2, dx = 0
Block (113, 89): dy = 0, dx = 0
Block (121, 89): dy = 0, dx = -2
Block (129, 89): dy = 0, dx = -3
Block (137, 89): dy = 2, dx = -7
Block (145, 89): dy = 2, dx = -6
Block (153, 89): dy = 2, dx = -7
Block (161, 89): dy = 2, dx = -8
Block (169, 89): dy = 2, dx = -8
Block (177, 89): dy = 2, dx = -8
Block (185, 89): dy = 2, dx = -8
Block (193, 89): dy = 1, dx = -3
Block (201, 89): dy = 1, dx = -8
Block (209, 89): dy = 1, dx = -8
Block (217, 89): dy = 1, dx = -8
Block (225, 89): dy = 1, dx = -7
Block (233, 89): dy = 1, dx = -6
Block (241, 89): dy = 1, dx = -5
Block (249, 89): dy = 1, dx = -4
Block (257, 89): dy = 0, dx = -4
Block (265, 89): dy = 0, dx = -7
Block (273, 89): dy = 0, dx = -7
Block (281, 89): dy = 0, dx = -8
Block (289, 89): dy = 0, dx = -1
